Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2026-09-18,FINRA / Nasdaq TRF Carteret (DQ),3304735465.629701,1509653498.054126,5874829404.660957,10689218368.344784,203464307036.562168,95674489452.067976,330984467141.599549,630123263630.229693,20807711,5753091,28518022,55078824
2026-09-18,Texas Stock Exchange (F),5964836.000000,3266104.000000,20142457.000000,29373397.000000,185675428.923900,176759216.903000,354568937.832900,717003583.659800,53090,21159,99681,173930
2026-09-18,24X National Exchange (G),1149999.000000,1765645.000000,3063559.000000,5979203.000000,54139677.006700,57105552.403800,182846610.945900,294091840.356400,10215,9619,27789,47623
2026-09-18,MIAX Pearl (H),18001585.000000,25544005.000000,61347513.000000,104893103.000000,764512133.676700,1143302882.817100,1782885106.907600,3690700123.401400,177175,144166,364342,685683
2026-09-18,EDGA Equities (J),26540980.000000,21128379.000000,101829102.000000,149498461.000000,1404590905.064100,1147328926.140600,2078559377.139701,4630479208.344401,339505,129949,558165,1027619
2026-09-18,EDGX Equities (K),135788712.000000,158214746.000000,404907689.000000,698911147.000000,7165951575.244795,6654665834.465603,20350560542.395903,34171177952.106301,1410506,885940,2801923,5098369
2026-09-18,LTSE (L),429380.000000,259135.000000,815951.000000,1504466.000000,23026556.575000,12716800.247000,43931591.913500,79674948.735500,6065,2228,14515,22808
2026-09-18,NYSE Texas (M),34470826.000000,33628622.000000,76220573.000000,144320021.000000,3701438039.213301,4415111950.886600,13946392852.332406,22062942842.432307,67749,17292,75829,160870
2026-09-18,NYSE (N),4350501845.000000,55678515.000000,135182708.000000,4541363068.000000,302108889474.824326,3110005921.489100,5594372608.365902,310813268004.679328,5625416,313447,1036231,6975094
2026-09-18,NYSE Arca (P),266497281.000000,485888244.000000,1228656008.000000,1981041533.000000,14746911614.681898,30794315313.781296,39625077005.687789,85166303934.150983,3223365,2440057,7604810,13268232
2026-09-18,NASDAQ (Q),442546893.000000,223430106.000000,4775848383.000000,5441825382.000000,25114340810.496604,16115154707.056108,372547883293.953884,413777378811.506596,5918269,1567794,11792507,19278570
2026-09-18,Members Exchange (U),48251705.000000,54629029.000000,219045906.000000,321926640.000000,2658068966.998599,2624358499.054700,6796165870.213405,12078593336.266704,560761,307332,1143895,2011988
2026-09-18,Investors Exchange (V),281707375.000000,119504707.000000,315434463.000000,716646545.000000,14563161135.725004,6371465710.671601,18478610927.955796,39413237774.352401,3236725,562178,3139502,6938405
2026-09-18,NASDAQ PSX (X),8341856.000000,3812885.000000,10079821.000000,22234562.000000,532997348.551200,365119406.722600,761117511.512900,1659234266.786700,94723,25088,117193,237004
2026-09-18,BYX Equities (Y),37018866.000000,27657368.000000,56057437.000000,120733671.000000,1817503200.736400,1234085865.656399,2426828705.512200,5478417771.904999,460730,171979,577085,1209794
2026-09-18,BZX Equities (Z),194469359.000000,152833276.000000,281153703.000000,628456338.000000,11608484152.340396,9137233341.489401,20584722823.337301,41330440317.167098,2600606,953403,2845992,6400001
2026-09-17,NYSE American (A),7584042.000000,23070025.000000,8840005.000000,39494072.000000,380175015.048800,357373834.841300,499467326.674500,1237016176.564600,79883,82165,89282,251330
2026-09-17,NASDAQ Texas (B),10779898.000000,10151831.000000,25185615.000000,46117344.000000,747810566.391500,521376649.183400,1047921267.629000,2317108483.203900,146576,65589,209639,421804
2026-09-17,NYSE National (C),20060838.000000,8688976.000000,21237935.000000,49987749.000000,753135181.297900,420467935.689900,716735341.059400,1890338458.047200,250475,62383,237273,550131
2026-09-17,FINRA / Nasdaq TRF Chicago (DB),13965324.090529,8643032.085831,37398873.743548,60007229.919908,866299780.406971,463458540.015666,3053012552.222483,4382770872.645120,121698,44599,286865,453162
2026-09-17,FINRA / NYSE TRF (DN),109458833.581937,77864125.993429,343574327.059370,530897286.634736,6087715531.836090,4620268403.316493,10388332393.746022,21096316328.898605,841537,277875,1433477,2552889
2026-09-17,FINRA / Nasdaq TRF Carteret (DQ),2384671405.163614,1353371684.957511,5084940576.215431,8822983666.336556,129469061475.623413,84436821752.079495,207627882436.773219,421533765664.476127,22291166,5483938,29611473,57386577
2026-09-17,Texas Stock Exchange (F),5274963.000000,3350257.000000,29553613.000000,38178833.000000,156404081.947200,128389138.163400,322237492.031100,607030712.141700,43914,23123,103514,170551
2026-09-17,24X National Exchange (G),1154929.000000,1955978.000000,3789499.000000,6900406.000000,56893113.083900,62874843.586400,178314872.369300,298082829.039600,10635,9219,30850,50704
2026-09-17,MIAX Pearl (H),16837513.000000,23273011.000000,65118408.000000,105228932.000000,749063331.156000,1079769798.849700,1727548851.034300,3556381981.040000,174654,129700,371667,676021
2026-09-17,EDGA Equities (J),28490788.000000,18981848.000000,100568050.000000,148040686.000000,1263652740.207400,1114907280.899100,1755908091.972399,4134468113.078899,341486,123266,545849,1010601
2026-09-17,EDGX Equities (K),133629197.000000,130759605.000000,434160921.000000,698549723.000000,7190664801.634300,6404660926.414296,17696732124.549801,31292057852.598397,1429263,833698,2937705,5200666
2026-09-17,LTSE (L),572460.000000,315621.000000,731903.000000,1619984.000000,35633121.110000,19429606.442200,26013041.115800,81075768.668000,6790,2619,15123,24532
2026-09-17,NYSE Texas (M),32219720.000000,19020514.000000,34810472.000000,86050706.000000,2902803626.917199,2357684817.589200,7210748660.590502,12471237105.096901,71494,18213,86971,176678
2026-09-17,NYSE (N),1254903144.000000,52031454.000000,119002381.000000,1425936979.000000,82507761856.250903,3164082082.936799,5136464920.527098,90808308859.714800,5598615,298097,1031581,6928293
2026-09-17,NYSE Arca (P),249373878.000000,435885219.000000,1438941139.000000,2124200236.000000,13026003530.904208,29880478655.964997,34263832904.399899,77170315091.269104,2997521,2205090,7509346,12711957
2026-09-17,NASDAQ (Q),402162459.000000,198905406.000000,1684384437.000000,2285452302.000000,22413422887.399105,15586078706.436593,131389477451.415362,169388979045.251060,5532595,1474194,11040385,18047174
2026-09-17,Members Exchange (U),46600506.000000,48595359.000000,226900756.000000,322096621.000000,2464065819.614200,2525037274.711801,6083590241.022099,11072693335.348100,529393,287496,1071975,1888864
2026-09-17,Investors Exchange (V),278435039.000000,111400737.000000,300145563.000000,689981339.000000,14581233538.261802,6463098540.601001,16451365087.204095,37495697166.066898,3182861,546223,3064131,6793215
2026-09-17,NASDAQ PSX (X),5122623.000000,2901040.000000,7196382.000000,15220045.000000,353971039.212100,291347036.612000,467122372.169900,1112440447.994000,65342,20233,85827,171402
2026-09-17,BYX Equities (Y),36710621.000000,24300400.000000,52333916.000000,113344937.000000,1598407211.754300,1196499485.647600,2129158359.699900,4924065057.101800,487347,160393,596368,1244108
2026-09-17,BZX Equities (Z),187268684.000000,129999206.000000,277412794.000000,594680684.000000,11091638096.561999,8334572683.566903,17120555420.017112,36546766200.146014,2592703,875155,2883814,6351672
2026-09-16,NYSE American (A),6964020.000000,23389187.000000,8934461.000000,39287668.000000,341609913.082000,488366657.705200,446693347.642100,1276669918.429300,77852,102595,93013,273460
2026-09-16,NASDAQ Texas (B),11911949.000000,12113670.000000,28293877.000000,52319496.000000,837620406.837400,654567570.487700,1113228748.632900,2605416725.958000,160569,76799,215947,453315
2026-09-16,NYSE National (C),22312602.000000,14025732.000000,25240371.000000,61578705.000000,869991360.510400,652942305.555600,808079788.057900,2331013454.123900,260012,88211,253348,601571
2026-09-16,FINRA / Nasdaq TRF Chicago (DB),14004794.330058,9585466.491569,38849048.069887,62439308.891514,899853574.425687,570941105.930461,3177815351.797739,4648610032.153887,122251,50054,284156,456461
2026-09-16,FINRA / NYSE TRF (DN),106092862.255805,76182281.776790,332503171.130390,514778315.162985,6107377206.886170,3438368713.480479,11327419163.660981,20873165084.027630,855473,284858,1429976,2570307
2026-09-16,FINRA / Nasdaq TRF Carteret (DQ),2313084814.757434,1529957959.652653,5232247034.872695,9075289809.282782,125323561627.420983,105167182100.353522,195299747017.448487,425790490745.222992,22150033,6083746,29246516,57480295
2026-09-16,Texas Stock Exchange (F),6154425.000000,4251242.000000,13866897.000000,24272564.000000,218169537.778100,202327373.817700,412380663.560600,832877575.156400,58984,26393,107184,192561
2026-09-16,24X National Exchange (G),1541144.000000,2546572.000000,3096181.000000,7183897.000000,50907222.536100,119810043.211300,174271605.014800,344988870.762200,10339,12540,28223,51102
2026-09-16,MIAX Pearl (H),17859193.000000,32827119.000000,70702168.000000,121388480.000000,765793763.623400,1673799437.475200,1677288934.797699,4116882135.896299,184572,180704,395288,760564
2026-09-16,EDGA Equities (J),30123549.000000,22132834.000000,112740404.000000,164996787.000000,1417564491.795300,1355257226.827600,1844753822.291700,4617575540.914600,383325,147882,606562,1137769
